roadsegid,party_time_rate,work_time_rate,pw_ratio
38674,149.857142857143,322,-0.364819860732667
38933,67,72.2857142857143,-0.037948717948718
38937,995.428571428571,569.142857142857,0.272461650840029
39233,11.2857142857143,18.8571428571429,-0.251184834123223
39316,121.142857142857,131.714285714286,-0.0418079096045198
39342,191.714285714286,256.428571428571,-0.144405482945489
39343,33.5714285714286,34,-0.00634249471458777
39358,13.8571428571429,13.1428571428571,0.0264550264550265
39519,4115,5316.71428571429,-0.127412074762958
39520,6067.14285714286,5741.57142857143,0.0275704382961735
39528,2239.14285714286,2239.14285714286,0
39530,1011.85714285714,955.428571428571,0.0286834652530681
39532,613.285714285714,723.571428571429,-0.0824962598845907
39533,2266.28571428571,2266.28571428571,0
39641,72.5714285714286,55,0.137737961926092
39645,219.428571428571,326.142857142857,-0.195600942655145
39684,78.2857142857143,78.2857142857143,0
39688,50.8571428571429,78.8571428571429,-0.215859030837004
39784,701.285714285714,850.142857142857,-0.0959484346224677
39901,42.2857142857143,64,-0.204301075268817
39956,37.5714285714286,39.4285714285714,-0.0241187384044527
40041,5377.42857142857,3908.14285714286,0.158233203587747
40042,205.285714285714,165.857142857143,0.106235565819861
40043,4776.85714285714,4650.14285714286,0.0134416342117626
40044,974.714285714286,798.285714285714,0.0995085005237289
40045,2514.14285714286,2074,0.0959305040944049
40046,1398.85714285714,1398.85714285714,0
40049,8814.28571428571,6622,0.142021581801692
40050,4733.28571428571,3768,0.113545850207532
40052,5458.42857142857,3592,0.206225435259577
40053,23915,7812.28571428571,0.507535199535326
40054,11645.1428571429,6120.57142857143,0.310968156963654
40055,7953,4116.28571428571,0.317890749837249
40056,2759.42857142857,1668.71428571429,0.246314159434784
40057,4921,4113.14285714286,0.0894226663925742
40058,734.571428571429,734.571428571429,0
40059,2649,2139.28571428571,0.10645026552897
40061,6499.14285714286,4435.14285714286,0.18876404494382
40186,4.14285714285714,11.4285714285714,-0.467889908256881
40188,68.7142857142857,429.714285714286,-0.724276296933219
40259,2.85714285714286,4.57142857142857,-0.230769230769231
40387,317.571428571429,425.857142857143,-0.1456571867794
40474,377.571428571429,377.571428571429,0
40660,645,673.857142857143,-0.0218804159445408
40694,151.714285714286,151.714285714286,0
40722,90.8571428571429,98.7142857142857,-0.041446872645064
40864,1971.71428571429,2239,-0.0634775233248515
41049,5285.42857142857,3433.14285714286,0.212452892020318
41319,33.7142857142857,75.5714285714286,-0.383006535947712
41320,33.4285714285714,44.5714285714286,-0.142857142857143
41323,1135.28571428571,1235.85714285714,-0.0424147487649115
41515,31.7142857142857,31.7142857142857,0
41525,430,396.714285714286,0.0402626576810091
41538,1932.42857142857,1824.57142857143,0.0287083159055477
41631,15.2857142857143,59.7142857142857,-0.592380952380952
42023,142.857142857143,150,-0.024390243902439
42024,970.142857142857,1226.14285714286,-0.116560426694419
42026,979,1001.42857142857,-0.0113251100050494
42028,100.428571428571,100.428571428571,0
42139,79.5714285714286,117.571428571429,-0.192753623188406
42151,33.5714285714286,36.1428571428571,-0.0368852459016394
42419,133.714285714286,144.142857142857,-0.0375321336760925
42427,1091,1107.71428571429,-0.00760184523422782
42484,299.428571428571,285.428571428571,0.0239374694675134
42486,300.285714285714,300.285714285714,0
42682,73.8571428571429,90.2857142857143,-0.100087032201915
42685,189.714285714286,431.285714285714,-0.389003910743041
42695,232.142857142857,487.571428571429,-0.354902739182215
42696,347.857142857143,1270.71428571429,-0.570167696381289
